Account_ID,Customer_ID,Account_Type,Account_Balance,Account_Status,Account_Open_Date
ACC0001,CUST0001,Savings,41042.32,Active,2022-02-27
ACC0002,CUST0002,Savings,179790.24,Active,2022-02-17
ACC0003,CUST0003,Current,197796.53,Active,2020-05-14
ACC0004,CUST0004,Current,44285.98,Inactive,2019-04-22
ACC0005,CUST0005,Current,206833.96,Active,2019-02-12
ACC0006,CUST0006,Current,22141.07,Active,2021-04-21
ACC0007,CUST0007,Savings,46602.91,Inactive,2019-11-28
ACC0008,CUST0008,Savings,81238.62,Active,2018-07-29
ACC0009,CUST0009,Savings,65565.93,Inactive,2022-10-02
ACC0010,CUST0010,Savings,188562.28,Active,2022-02-03
ACC0011,CUST0011,Current,145823.96,Active,2018-06-11
ACC0012,CUST0012,Savings,65757.51,Active,2021-03-28
ACC0013,CUST0013,Savings,16000.02,Inactive,2019-04-12
ACC0014,CUST0014,Savings,77048.18,Closed,2020-02-18
ACC0015,CUST0015,Current,230814.95,Active,2020-01-29
ACC0016,CUST0016,Current,172727.45,Active,2021-08-20
ACC0017,CUST0017,Savings,92202.2,Active,2022-02-02
ACC0018,CUST0018,Savings,239361.45,Active,2019-07-07
ACC0019,CUST0019,Current,114017.18,Active,2019-04-15
ACC0020,CUST0020,Current,104253.48,Inactive,2018-05-16
ACC0021,CUST0021,Current,189458.96,Active,2021-09-04
ACC0022,CUST0022,Current,190583.98,Closed,2019-06-27
ACC0023,CUST0023,Savings,218347.2,Closed,2019-06-23
ACC0024,CUST0024,Current,111963.62,Active,2020-01-12
ACC0025,CUST0025,Current,19986.63,Active,2018-07-06
ACC0026,CUST0026,Current,15908.63,Closed,2018-11-24
ACC0027,CUST0027,Current,50938.12,Active,2020-02-21
ACC0028,CUST0028,Current,41552.02,Inactive,2021-02-07
ACC0029,CUST0029,Savings,29501.89,Closed,2022-04-24
ACC0030,CUST0030,Current,122462.58,Inactive,2018-11-20
ACC0031,CUST0031,Savings,202268.67,Active,2022-04-10
ACC0032,CUST0032,Savings,128555.34,Closed,2019-09-04
ACC0033,CUST0033,Savings,14905.33,Active,2020-02-05
ACC0034,CUST0034,Savings,180958.38,Active,2021-05-11
ACC0035,CUST0035,Current,204205.08,Active,2020-01-14
ACC0036,CUST0036,Savings,144788.66,Inactive,2022-12-04
ACC0037,CUST0037,Savings,86459.95,Closed,2022-07-30
ACC0038,CUST0038,Savings,248533.85,Inactive,2021-09-13
ACC0039,CUST0039,Savings,8417.85,Active,2020-12-16
ACC0040,CUST0040,Current,192358.53,Inactive,2022-03-27
ACC0041,CUST0041,Savings,93928.0,Inactive,2021-08-23
ACC0042,CUST0042,Savings,217470.26,Inactive,2018-09-05
ACC0043,CUST0043,Current,20522.37,Closed,2018-02-13
ACC0044,CUST0044,Savings,33680.96,Active,2019-03-28
ACC0045,CUST0045,Current,45029.17,Inactive,2018-05-19
ACC0046,CUST0046,Current,132446.21,Active,2019-05-03
ACC0047,CUST0047,Savings,208787.99,Active,2018-09-28
ACC0048,CUST0048,Current,116019.47,Closed,2022-05-26
ACC0049,CUST0049,Savings,106319.94,Active,2018-07-18
ACC0050,CUST0050,Savings,62254.25,Active,2020-08-14
ACC0051,CUST0051,Current,69274.61,Active,2022-01-31
ACC0052,CUST0052,Current,8538.22,Inactive,2019-01-25
ACC0053,CUST0053,Savings,153923.34,Active,2019-01-11
ACC0054,CUST0054,Savings,51917.36,Closed,2020-06-26
ACC0055,CUST0055,Current,8877.28,Active,2021-01-12
ACC0056,CUST0056,Savings,61561.17,Inactive,2020-04-12
ACC0057,CUST0057,Current,110021.22,Active,2018-05-01
ACC0058,CUST0058,Savings,188719.23,Active,2019-06-28
ACC0059,CUST0059,Savings,126222.01,Active,2021-09-17
ACC0060,CUST0060,Current,204038.67,Closed,2019-03-22
ACC0061,CUST0061,Current,80066.47,Active,2022-03-12
ACC0062,CUST0062,Savings,59607.56,Closed,2020-09-03
ACC0063,CUST0063,Savings,55650.16,Active,2020-11-06
ACC0064,CUST0064,Current,15708.93,Active,2018-05-20
ACC0065,CUST0065,Savings,156685.29,Closed,2019-05-20
ACC0066,CUST0066,Savings,124157.39,Inactive,2018-06-17
ACC0067,CUST0067,Savings,196558.25,Inactive,2019-10-10
ACC0068,CUST0068,Savings,102360.66,Inactive,2019-06-28
ACC0069,CUST0069,Current,46377.81,Inactive,2019-10-10
ACC0070,CUST0070,Savings,60621.56,Active,2021-02-27
ACC0071,CUST0071,Savings,214456.54,Inactive,2020-11-02
ACC0072,CUST0072,Current,228727.92,Inactive,2022-12-06
ACC0073,CUST0073,Current,241962.65,Closed,2020-06-16
ACC0074,CUST0074,Savings,33956.14,Active,2020-12-19
ACC0075,CUST0075,Current,51232.51,Active,2018-08-01
ACC0076,CUST0076,Savings,230595.41,Active,2022-03-01
ACC0077,CUST0077,Savings,134141.07,Active,2021-05-23
ACC0078,CUST0078,Current,67481.17,Closed,2021-07-22
ACC0079,CUST0079,Savings,150929.05,Active,2022-09-29
ACC0080,CUST0080,Current,201260.33,Closed,2018-04-01
