Transaction_ID,Fraud_Type,Fraud_Amount,Alert_Date,Risk_Level
TXN00018,Merchant Fraud,23361.57,2023-08-12,High
TXN00029,SIM Swap,31570.09,2023-12-07,High
TXN00042,Account Takeover,45522.31,2024-05-23,Critical
TXN00117,Account Takeover,11529.2,2023-03-12,High
TXN00130,Identity Theft,10125.28,2023-01-11,Critical
TXN00152,Phishing,13025.47,2023-12-09,Critical
TXN00164,Phishing,20639.58,2024-01-10,Medium
TXN00165,Unauthorized Transfer,26778.19,2024-04-25,High
TXN00171,Merchant Fraud,36369.0,2024-03-24,Critical
TXN00197,Identity Theft,378.11,2023-11-06,High
TXN00198,Card Skimming,28554.88,2024-07-23,Medium
TXN00306,SIM Swap,17608.25,2024-04-01,Medium
TXN00319,Identity Theft,24350.85,2024-01-03,Critical
TXN00329,Phishing,830.73,2023-06-11,High
TXN00401,SIM Swap,44742.99,2023-03-13,High
TXN00417,Unauthorized Transfer,32905.5,2024-04-16,Critical
TXN00463,Merchant Fraud,12345.56,2023-03-20,Medium
TXN00464,Merchant Fraud,29537.41,2024-01-18,Medium
TXN00478,Duplicate Transaction,13002.92,2024-09-10,Medium
TXN00484,Identity Theft,14776.83,2023-07-26,High
TXN00536,Identity Theft,100.0,2023-02-12,High
TXN00571,SIM Swap,42384.33,2023-12-14,High
TXN00651,Identity Theft,25769.95,2024-05-01,High
TXN00759,Duplicate Transaction,33154.23,2023-04-19,High
TXN00771,Unauthorized Transfer,4914.12,2024-11-21,High
TXN00792,SIM Swap,28945.54,2024-11-14,Critical
TXN00804,Identity Theft,257.67,2023-09-05,Critical
TXN00818,Account Takeover,10854.51,2023-06-06,High
TXN00887,Merchant Fraud,6050.32,2024-04-13,Medium
TXN00921,Account Takeover,9262.12,2024-01-24,Medium
TXN00978,Phishing,3872.53,2023-03-28,Medium
TXN00999,Account Takeover,33441.42,2024-09-22,High
TXN01020,Identity Theft,18212.48,2024-08-15,High
TXN01082,SIM Swap,1835.44,2024-08-31,Critical
TXN01107,SIM Swap,17712.92,2024-02-23,Medium
TXN01117,Phishing,39914.95,2024-05-13,High
TXN01137,Identity Theft,31114.58,2023-09-29,High
TXN01177,Unauthorized Transfer,44794.22,2024-03-24,Critical
TXN01242,Account Takeover,43802.03,2024-10-05,High
TXN01257,Card Skimming,45942.87,2024-04-05,High
TXN01313,Account Takeover,36254.21,2023-03-30,Medium
TXN01329,SIM Swap,47579.95,2023-04-09,High
TXN01376,Phishing,39489.91,2024-03-23,High
TXN01400,Phishing,7339.65,2023-04-14,High
TXN01405,SIM Swap,19750.25,2023-10-10,Medium
TXN01418,Duplicate Transaction,49592.27,2023-06-05,Critical
TXN01452,Account Takeover,19394.42,2024-04-13,High
TXN01482,Merchant Fraud,16402.47,2023-01-21,High
TXN01488,Duplicate Transaction,36914.32,2023-08-15,Critical
TXN01557,Identity Theft,12447.63,2024-08-05,Critical
TXN01563,Card Skimming,45117.31,2023-05-26,High
TXN01573,Account Takeover,36512.32,2023-02-21,Critical
TXN01576,Unauthorized Transfer,46158.35,2024-01-29,Critical
TXN01613,Duplicate Transaction,37811.6,2023-11-25,Critical
TXN01664,Unauthorized Transfer,7548.9,2023-05-18,Critical
TXN01741,Phishing,40773.51,2024-05-30,Medium
TXN01755,Phishing,16584.65,2023-08-23,High
TXN01817,SIM Swap,39257.43,2023-11-18,High
TXN01821,Unauthorized Transfer,32213.47,2024-01-10,Critical
TXN01822,Merchant Fraud,48493.24,2023-08-10,Critical
TXN01839,Merchant Fraud,23124.09,2023-09-19,Critical
TXN01851,Merchant Fraud,35069.98,2023-07-20,Medium
TXN01878,Unauthorized Transfer,42219.76,2023-11-06,High
TXN01889,Card Skimming,16307.91,2024-01-12,Medium
TXN01926,Identity Theft,49530.85,2024-12-08,Critical
TXN01975,Unauthorized Transfer,636.59,2023-12-05,Critical
TXN02026,Phishing,20194.69,2024-11-26,Critical
TXN02101,Merchant Fraud,8660.95,2023-08-08,Medium
TXN02105,Duplicate Transaction,548.32,2023-02-01,Critical
TXN02127,Phishing,22699.18,2024-02-17,High
TXN02300,Account Takeover,3222.29,2023-07-03,Medium
TXN02324,Duplicate Transaction,19378.23,2024-06-21,Medium
TXN02330,Account Takeover,7780.16,2023-03-28,High
TXN02383,SIM Swap,39998.86,2023-12-28,Medium
TXN02416,Unauthorized Transfer,46642.64,2024-07-29,High
TXN02434,Identity Theft,8709.26,2023-03-04,Critical
TXN02511,Identity Theft,18645.77,2023-03-15,Medium
TXN02544,Phishing,11248.61,2024-07-17,High
TXN02564,Identity Theft,8816.24,2023-11-27,Critical
TXN02621,Merchant Fraud,30333.39,2023-06-05,Medium
TXN02669,Identity Theft,46081.01,2024-05-31,Critical
TXN02674,Account Takeover,42741.99,2024-06-20,Critical
TXN02686,Identity Theft,49425.64,2023-06-20,High
TXN02714,Phishing,11684.08,2024-10-03,Medium
TXN02733,Phishing,27976.78,2023-12-10,High
TXN02746,Duplicate Transaction,25582.64,2023-05-02,High
TXN02812,SIM Swap,15731.87,2023-04-07,High
TXN02845,SIM Swap,34730.0,2023-10-18,Medium
TXN02863,SIM Swap,23313.26,2024-02-03,Critical
TXN02899,SIM Swap,2801.07,2023-06-06,High
TXN02903,Merchant Fraud,41791.12,2024-01-26,High
TXN03046,Merchant Fraud,27857.56,2024-07-08,High
TXN03078,Duplicate Transaction,36443.27,2024-04-21,Medium
TXN03096,SIM Swap,6616.47,2024-10-27,Medium
TXN03102,Card Skimming,26246.03,2024-06-09,Critical
TXN03126,Identity Theft,22644.46,2023-06-08,High
TXN03172,Account Takeover,1241.49,2023-12-04,Medium
TXN03179,SIM Swap,38616.4,2023-03-15,Critical
TXN03191,Card Skimming,46118.6,2023-06-25,Critical
TXN03199,SIM Swap,27174.87,2023-01-15,High
TXN03213,Merchant Fraud,21822.91,2023-04-12,Medium
TXN03285,Phishing,20049.29,2024-12-02,High
TXN03369,Phishing,40978.36,2023-10-25,Medium
TXN03370,Identity Theft,35402.08,2024-12-13,High
TXN03382,Unauthorized Transfer,3068.33,2023-07-30,Critical
TXN03406,Card Skimming,31567.5,2024-11-26,High
TXN03447,Unauthorized Transfer,9352.61,2023-06-30,Medium
TXN03459,Identity Theft,34263.16,2024-11-28,High
TXN03466,Account Takeover,23523.01,2023-03-18,Medium
TXN03510,Merchant Fraud,34605.01,2023-03-19,Critical
TXN03511,Merchant Fraud,28217.95,2024-03-11,High
TXN03525,Merchant Fraud,47791.71,2024-01-06,Medium
TXN03562,Account Takeover,7743.31,2023-04-11,High
TXN03583,Unauthorized Transfer,34408.6,2024-07-19,High
TXN03600,Card Skimming,40917.18,2023-10-18,Medium
TXN03647,Identity Theft,17838.26,2024-09-19,Critical
TXN03714,Merchant Fraud,6107.99,2023-03-08,Medium
TXN03730,Identity Theft,12303.52,2023-03-20,High
TXN03798,Phishing,39084.41,2023-12-09,Critical
TXN03800,Merchant Fraud,25064.95,2023-03-11,High
TXN03823,Identity Theft,22803.82,2023-02-09,High
TXN03837,Identity Theft,17737.28,2023-06-08,Critical
TXN03848,Merchant Fraud,8611.17,2024-10-22,Critical
TXN03872,Phishing,9395.99,2024-08-15,Critical
TXN03879,Unauthorized Transfer,30394.4,2023-01-01,High
TXN03900,Identity Theft,49511.73,2024-05-10,High
TXN03923,Phishing,14989.36,2024-01-05,High
TXN03944,Account Takeover,12067.09,2023-11-27,High
TXN03965,Card Skimming,9458.33,2023-08-12,Critical
TXN03997,Card Skimming,25083.65,2023-04-09,Medium
TXN04000,Identity Theft,27485.74,2023-05-06,Medium
TXN04023,Account Takeover,5934.35,2023-01-27,Medium
TXN04025,Identity Theft,44295.46,2023-03-16,Critical
TXN04064,Duplicate Transaction,30913.43,2024-01-25,Medium
TXN04068,Merchant Fraud,10706.34,2024-03-23,Critical
TXN04213,Account Takeover,19360.74,2024-03-24,Medium
TXN04260,Unauthorized Transfer,39000.77,2023-04-07,Critical
TXN04336,SIM Swap,13914.77,2023-08-07,Medium
TXN04367,Unauthorized Transfer,32370.44,2024-12-26,Medium
TXN04392,Duplicate Transaction,24537.8,2024-07-23,Medium
TXN04433,Phishing,23887.08,2024-10-03,High
TXN04450,Phishing,2119.49,2023-02-13,Critical
TXN04531,Identity Theft,23805.52,2023-12-27,High
TXN04562,Account Takeover,9035.91,2023-09-18,High
TXN04569,Phishing,3728.93,2024-10-13,High
TXN04588,Unauthorized Transfer,470.64,2024-04-22,Medium
TXN04615,Card Skimming,35893.38,2023-04-05,High
TXN04623,Account Takeover,21051.99,2023-12-30,High
TXN04656,Account Takeover,11059.06,2024-05-12,Medium
TXN04662,Unauthorized Transfer,18005.06,2024-04-06,Critical
TXN04701,Duplicate Transaction,49708.79,2024-07-16,High
TXN04734,SIM Swap,5008.82,2024-01-06,Medium
TXN04816,Identity Theft,22550.82,2023-12-30,Critical
TXN04843,Identity Theft,36369.93,2024-06-08,High
TXN04846,Account Takeover,31131.38,2023-03-16,High
TXN04875,Card Skimming,46341.74,2023-12-02,High
TXN04899,Unauthorized Transfer,32651.06,2024-08-02,High
TXN04909,Duplicate Transaction,29422.79,2023-04-14,High
TXN04918,SIM Swap,43994.05,2024-07-04,High
TXN04940,SIM Swap,27086.32,2024-11-17,High
TXN04943,Duplicate Transaction,48579.24,2023-10-28,Critical
TXN04965,Duplicate Transaction,26028.89,2023-07-26,Medium
