Transaction_ID,Customer_ID,Account_ID,Transaction_Date,Transaction_Amount,Transaction_Type,Merchant_ID,Location_ID,Device_ID,Payment_Method,Status,Fraud_Flag
TXN00001,CUST0347,ACC0347,2024-09-27,7415.01,Debit,MERCH025,LOC009,DEV011,Card,Success,0
TXN00002,CUST0217,ACC0217,2023-03-22,49414.58,Debit,MERCH034,LOC021,DEV187,Card,Success,0
TXN00003,CUST0469,ACC0469,2023-03-10,4397.02,Credit,MERCH067,LOC030,DEV004,NetBanking,Success,0
TXN00004,CUST0403,ACC0403,2024-12-18,31171.74,Credit,MERCH019,LOC037,DEV151,NetBanking,Success,0
TXN00005,CUST0299,ACC0299,2023-04-13,46250.16,Debit,MERCH045,LOC027,DEV068,NetBanking,Success,0
TXN00006,CUST0197,ACC0197,2024-11-01,24304.96,Credit,MERCH052,LOC010,DEV159,NetBanking,Success,0
TXN00007,CUST0312,ACC0312,2024-11-28,34698.38,Credit,MERCH007,LOC048,DEV122,UPI,Success,0
TXN00008,CUST0472,ACC0472,2023-10-03,44856.72,Debit,MERCH063,LOC045,DEV176,UPI,Success,0
TXN00009,CUST0051,ACC0051,2023-08-22,6762.56,Debit,MERCH078,LOC042,DEV023,Card,Success,0
TXN00010,CUST0097,ACC0097,2024-03-28,10608.96,Credit,MERCH066,LOC011,DEV017,Card,Success,0
TXN00011,CUST0160,ACC0160,2024-12-27,25364.42,Debit,MERCH026,LOC004,DEV064,UPI,Success,0
TXN00012,CUST0017,ACC0017,2024-04-12,2575.44,Debit,MERCH060,LOC033,DEV102,Card,Success,0
TXN00013,CUST0326,ACC0326,2023-05-07,34074.66,Debit,MERCH077,LOC029,DEV046,UPI,Failed,0
TXN00014,CUST0492,ACC0492,2024-04-30,29364.67,Debit,MERCH034,LOC048,DEV177,Card,Success,0
TXN00015,CUST0047,ACC0047,2023-10-19,1421.15,Debit,MERCH083,LOC015,DEV174,UPI,Success,0
TXN00016,CUST0106,ACC0106,2023-10-03,32596.79,Debit,MERCH017,LOC042,DEV045,NetBanking,Success,0
TXN00017,CUST0308,ACC0308,2023-01-09,11227.31,Debit,MERCH049,LOC023,DEV118,NetBanking,Success,0
TXN00018,CUST0130,ACC0130,2023-08-12,23361.57,Credit,MERCH085,LOC024,DEV144,NetBanking,Success,1
TXN00019,CUST0332,ACC0332,2024-08-31,30472.05,Debit,MERCH009,LOC022,DEV071,Card,Failed,0
TXN00020,CUST0328,ACC0328,2023-11-29,43081.51,Debit,MERCH098,LOC016,DEV015,Card,Success,0
TXN00021,CUST0413,ACC0413,2024-09-06,20234.72,Debit,MERCH038,LOC017,DEV108,Card,Success,0
TXN00022,CUST0208,ACC0208,2024-02-02,36849.77,Debit,MERCH029,LOC044,DEV137,NetBanking,Success,0
TXN00023,CUST0327,ACC0327,2024-05-02,45331.0,Debit,MERCH072,LOC012,DEV076,Card,Success,0
TXN00024,CUST0050,ACC0050,2024-04-27,6440.81,Debit,MERCH029,LOC023,DEV058,Card,Success,0
TXN00025,CUST0382,ACC0382,2023-11-11,21052.6,Debit,MERCH060,LOC008,DEV121,Card,Success,0
TXN00026,CUST0028,ACC0028,2024-10-11,29199.55,Debit,MERCH025,LOC033,DEV031,NetBanking,Failed,0
TXN00027,CUST0445,ACC0445,2024-11-28,19114.38,Credit,MERCH020,LOC009,DEV052,Card,Success,0
TXN00028,CUST0176,ACC0176,2024-02-24,49360.22,Debit,MERCH024,LOC050,DEV021,Card,Success,0
TXN00029,CUST0250,ACC0250,2023-12-07,31570.09,Debit,MERCH036,LOC014,DEV195,UPI,Success,1
TXN00030,CUST0397,ACC0397,2023-06-22,28835.13,Credit,MERCH056,LOC041,DEV110,UPI,Success,0
TXN00031,CUST0207,ACC0207,2024-03-15,48268.13,Debit,MERCH094,LOC024,DEV004,Card,Success,0
TXN00032,CUST0457,ACC0457,2023-11-26,37854.54,Debit,MERCH081,LOC047,DEV064,NetBanking,Success,0
TXN00033,CUST0116,ACC0116,2024-12-11,43855.41,Debit,MERCH076,LOC020,DEV043,Card,Success,0
TXN00034,CUST0034,ACC0034,2023-02-16,14945.2,Credit,MERCH088,LOC009,DEV088,Card,Success,0
TXN00035,CUST0462,ACC0462,2024-05-16,17994.58,Debit,MERCH003,LOC015,DEV058,UPI,Failed,0
TXN00036,CUST0373,ACC0373,2023-05-15,10598.95,Debit,MERCH084,LOC003,DEV097,UPI,Success,0
TXN00037,CUST0449,ACC0449,2024-10-17,12826.67,Debit,MERCH084,LOC002,DEV013,NetBanking,Success,0
TXN00038,CUST0354,ACC0354,2023-04-29,20867.94,Debit,MERCH020,LOC014,DEV178,Card,Success,0
TXN00039,CUST0352,ACC0352,2024-10-07,514.76,Debit,MERCH090,LOC009,DEV108,Card,Success,0
TXN00040,CUST0426,ACC0426,2023-04-18,25603.66,Debit,MERCH014,LOC032,DEV051,NetBanking,Success,0
TXN00041,CUST0312,ACC0312,2023-07-24,38909.05,Debit,MERCH038,LOC011,DEV011,NetBanking,Success,0
TXN00042,CUST0281,ACC0281,2024-05-23,45522.31,Debit,MERCH086,LOC006,DEV029,Card,Success,1
TXN00043,CUST0428,ACC0428,2024-08-10,33467.65,Debit,MERCH013,LOC017,DEV165,UPI,Success,0
TXN00044,CUST0119,ACC0119,2024-04-12,49433.86,Debit,MERCH007,LOC007,DEV045,Card,Failed,0
TXN00045,CUST0448,ACC0448,2023-02-10,42619.82,Debit,MERCH095,LOC008,DEV025,Card,Failed,0
